句子,朝代,解释
"回首故山千里外
别离心绪向谁言？",出自宋代 杨徽之《寒食寄郑起侍郎》,"解释：回望故家远在千里以外，满怀离情别绪又去讲给谁听？

赏析：此句以问句作结，诗人本有一腔“别离心绪”，喷涌欲出，这里以“向谁言”出之，于“露筋骨”之中，仍为唱叹之音，更显得凄切动人。"
"岭外音书断
经冬复历春",出自唐代 宋之问《渡汉江》,"解释：客居岭外与家里音信断绝，经历了一个又一个春夏秋冬。

赏析：此句语极浅近，意颇深邃，抒发出诗人贬居遐荒期间孤孑、苦闷的感情，和对家乡、亲人的思念。"
"朝闻游子唱离歌
昨夜微霜初渡河",出自唐代 李颀《送魏万之京》,"解释：清晨听到游子高唱离别之歌，昨夜薄霜刚刚渡过黄河。

赏析：诗人用倒戟法落笔，点出出发前，微霜初落，深秋萧瑟，挚友离别，自然地引出诗人的愁思。"
"旅馆寒灯独不眠
客心何事转凄然",出自唐代 高适《除夜作》,"解释：旅馆里透着凄冷的灯光，映照着那孤独的迟迟不能入眠的客人。这孤独的旅人是为了什么事情而倍感凄然呢？

赏析：诗人在除夕之夜仍然在外漂泊，“寒灯”二字，渲染了旅馆的清冷和诗人内心的孤寂，表达出诗人单身一人的孤苦，对千里之外故乡亲人的思念，以及对时光流逝之快的感叹。"
"槲叶落山路
枳花明驿墙",出自唐代 温庭筠《商山早行》,"解释：枯败的槲叶，落满了荒山的野路；淡白的枳花，鲜艳地开放在驿站的泥墙边。

赏析：此句描写了早行路途中的景色，槲叶落满山路，给人一种荒凉而宁静的感觉；枳花在驿墙边鲜艳地开放，则让人感受到生命的力量和美丽，呈现出深沉而美丽的意境。"
"故山知好在
孤客自悲凉",出自宋代 苏轼《临江仙·送王缄》,"解释：我又何尝不知道故乡的好啊，自己飘零已久，复归无日，自成天涯孤凉客。

赏析：词人明白“故山好在”，自感宽慰，但一方面觉得自己宦迹飘零，赋归无日，成为天涯孤客，又不禁悲从中来，一句“悲凉”道出了词人的乡愁、旅思及丧妻之痛。"
"门外子规啼未休
山村落日梦悠悠",出自宋代 陈与义《送人归京师》,"解释：门外子规的啼叫还未停止，山村在落日时分已经进入悠悠梦乡了。

赏析：此句描写了子规鸟蹄叫的情景，让人真切地感受到诗人强烈的故乡之思，又通过日落时分山村中那幽梦不断的场景的描写，暗示诗人被深重的痛苦所困扰。"
"因思杜陵梦
凫雁满回塘",出自唐代 温庭筠《商山早行》,"解释：回想昨夜梦见杜陵的美好情景，一群群鸭雁，正嬉戏在岸边的湖塘里。

赏析：诗人梦中的故乡景色与旅途上的景色又形成鲜明对照，表达了诗人对故乡的思念之情，给人以深邃而凄美的感觉。"
"一自胡尘入汉关
十年伊洛路漫漫",出自宋代 陈与义《咏牡丹》,"解释：自从金人的铁蹄踏碎了祖国的河山，十年岁月，回望故乡洛阳，仍是漫漫长路归途无望。

赏析：诗人藉物抒怀，金兵入汴，人们流离失所，漂泊无依，“路漫漫”三字，表现了诗人复杂的心理，既是说国运不昌，中原沦陷，无由再游故地，再赏洛阳牡丹，也是痛惜家国，不能回乡，更有对前途渺茫的感叹。"
"一为迁客去长沙
西望长安不见家",出自唐代 李白《与史郎中钦听黄鹤楼上吹笛》,"解释：一朝成为被贬谪之人要远去长沙，日日西望长安方向也看不见家。

赏析：诗人借用贾谊的不幸，比拟自身贬谪的处境，流露了无辜受害的愤懑，抒发了去国怀乡之感。"
"夕阳西下
断肠人在天涯",出自元代 马致远《天净沙·秋思》,"解释：夕阳渐渐地失去了光泽，从西边落下。凄寒的夜色里，只有孤独的旅人漂泊在遥远的地方。

赏析：此句描绘了一幅秋郊夕照图，蕴含着无限凄凉悲苦的情调，表现出羁旅漂泊之人的凄苦心境。"
"今春看又过
何日是归年",出自唐代 杜甫《绝句二首》,"解释：今年春天眼看就要过去，何年何月才是我归乡的日期？

赏析：诗人触景生情，见春天匆匆而过，触动了深深的乡思，寓情于景，透露出诗人的怀乡愁思。"
"远梦归侵晓
家书到隔年",出自唐代 杜牧《旅宿》,"解释：隔着遥远的距离，梦魂要接近拂晓才能到家，家信更要隔年方可送达。

赏析：诗人用设想之词，虚实结合，想象奇特，用梦境写旅宿思愁哀怨，流露出梦短情长的哀怨之意。"
"蝴蝶不传千里梦
子规叫断三更月",出自宋代 辛弃疾《满江红·点火樱桃》,"解释：乡梦恐怕难以传到千里之外了，唯闻子规啼三更月。

赏析：此句化用唐代诗人崔涂的“蝴蝶梦中家万里，子规枝上月三更”之句，一个“不传”，一个“叫断”，用就情造境的哀婉之笔，以深夜不寐的痛苦情景，表达了诗人思家念远之悲。"
乡书何处达？归雁洛阳边,出自唐代 王湾《次北固山下》,"解释：我的家书应该送到什么地方呢？北去的归雁啊，请给我捎回洛阳那边！

赏析：此句情景交融，风格壮美，诗人用“雁足传书”的典故，残夜归雁，触发了心中的情思，传达出内心的乡思愁绪。"
"鲈鱼正美不归去
空戴南冠学楚囚",出自唐代 赵嘏《长安晚秋》,"解释：可惜鲈鱼正美回也回不去，头戴楚冠学着囚徒把数充。

赏析：此句借用西晋张翰的典故，表示故园之情和退隐之思，用春秋锺仪的典故，直言自己留居长安之无谓与归隐之不宜迟。"
"梦到故园多少路
酒醒南望隔天涯",出自宋代 苏轼《浣溪沙·山色横侵蘸晕霞》,"解释：睡梦中曾走遍故乡的条条小路，酒醒后向南望才知有天涯隔阻。

赏析：词人醉酒后昏昏欲睡，梦中忆起了离别故乡的依依不舍之情，而梦醒后遥望着西南方的远隔天涯的眉山“故园”，不禁一阵空虚寂寞，更衬出词人思归的凄苦之情。"
"家在梦中何日到
春生江上几人还？",出自唐代 卢纶《长安春望》,"解释：故园就在梦中，可是何时才能归还；冬去春来，江上舟来舟往，又有几人得以还家。

赏析：此句为全诗的警句，诗人恨自己不能回到家乡，所以只能在梦中归乡，表达出诗人对时代动乱、浮生短促的悲叹。"
"思归若汾水
无日不悠悠",出自唐代 李白《太原早秋》,"解释：思乡之情就像这绵绵不断的汾河水，无时无刻不在悠悠地流向家乡。

赏析：诗人以日夜不停的汾河水不停流淌为喻，形象而生动地表现出了自己日夜思归的情怀。"
"落灯花
棋未收
叹新丰逆旅淹留",出自元代 徐再思《水仙子·夜雨》,"解释：灯花落下，棋子还未收，叹息又将滞留在这新丰客舍。

赏析：词人用旅居新丰的典故，表达出羁旅客愁、备受冷落的情怀。"
"到家应是
童稚牵衣
笑我华颠",出自宋代 吴激《诉衷情·夜寒茅店不成眠》,"解释：不禁遐想，回到了家，稚子会抓着衣角，笑我满头白发吧。

赏析：诗人想象回到家乡后，儿童“牵衣”，“笑我”白发的情景，既富有戏剧性，又充满了轻松活泼的家庭气氛，更体现出诗人难以忘怀的思乡情。"
"天涯岂是无归意
争奈归期未可期",出自宋代 晏几道《鹧鸪天·十里楼台倚翠微》,"解释：作为漂泊天涯的游子，我又何尝没有返回家乡的想法？奈何那归去的日期啊，却至今难以确定！

赏析：词人以反诘的语气，流露出行客思归怀人的深切，抒发了漂泊在外、有家难归的感叹。"
"望阙云遮眼
思乡雨滴心",出自唐代 白居易《阴雨》,"解释：望向帝京的视线被云雾遮住，思念着故乡，雨声落地滴滴打在心头。

赏析：此句描写了雾霭浓重、雨声滴答的情景，写诗人望向帝京却不得见的愁苦，表达了对故乡的思念。"
"我行殊未已
何日复归来",出自唐代 宋之问《题大庾岭北驿》,"解释：我还未到达目的地，还要继续前行，真不知什么时候我才能再次归来？

赏析：诗人见到群雁北归有定期，联想到自身却不知何时才能再返故乡和亲人团聚，将心中的忧伤、哀怨、思念、向往等等复杂情感，表现得含蓄委婉而又深切感人。"
"缺月昏昏漏未央
一灯明灭照秋床",出自宋代 王安石《葛溪驿》,"解释：一钩残月挂在天空，月色昏昏，漏声滴答，黑夜正长，油灯忽明忽暗，孤寂地照着我的床。

赏析：此句描绘了一幅“秋夜难眠图”，借残月、滴漏、昏暗的灯光暗写诗人心烦意乱，营造了凄凉的艺术境界。"
"江汉思归客
乾坤一腐儒",出自唐代 杜甫《江汉》,"解释：我漂泊在江汉一带，思念故土却不能归，在茫茫天地之间，我只是一个迂腐的老儒。

赏析：诗人抒发出客滞江汉的窘境，“思归客”三字饱含着无限的辛酸，“一腐儒”又流露出诗人自嘲的无奈。"
"山映斜阳天接水
芳草无情
更在斜阳外",出自宋代 范仲淹《苏幕遮·怀旧》,"解释：远山沐浴着夕阳天空连接着江水。不解思乡之苦的芳草，一直延伸到夕阳之外的天际。

赏析：此句描写秋景，物象典型，境界宏大，空灵气象，极为绮丽迷人，进一步将天、地、山、水通过斜阳、芳草组接在一起，景物自目之所接延伸到想象中的天涯，天涯遥远，远连故园，更在斜阳之外，隐隐逗出词人的乡思离情。"
"行人无限秋风思
隔水青山似故乡",出自唐代 戴叔伦《题稚川山水》,"解释：路上的行人兴起了无限的思乡之情，此处的青山绿水也仿佛是自己的故乡了。

赏析：诗人宦游途中，行旅中偶遇美景，稚川山水风光的优美唤起了词人心中油然而生的乡情，“秋风思”代指乡愁归思，表达出诗人对故乡一切熟悉亲爱的事物的深切忆念。"
"心逐南云逝
形随北雁来",出自南北朝 江总《于长安归还扬州九月九日行薇山亭赋韵》,"解释：心追逐南去的白云飘逝，身体跟随着北飞的大雁回来。

赏析：诗人通过南云、北雁寄托自己对家乡的思恋，下句“形随北雁来”写回归家乡的感望就要实现了，因而感到欢喜，显得自在而飘逸。"
"独有宦游人
偏惊物候新",出自唐代 杜审言《和晋陵陆丞早春游望》,"解释：只有远离故里外出做官之人，特别敏感自然物候转化更新。

赏析：此句以深沉的感慨起句，语调质朴，情感动人，在“独有”、“偏惊”的强调语气中，生动表现出诗人宦游江南的矛盾心情。"
"床前明月光
疑是地上霜",出自唐代 李白《静夜思》,"解释：明亮的月光洒在窗户纸上，好像地上泛起了一层白霜。

赏析：此句语意浅显，感人至深，诗人睡梦初醒，迷离恍惚中将照射在床前的清冷月光误作铺在地面的浓霜，描写出月光的皎洁，又表达了季节的寒冷，烘托出诗人飘泊他乡的孤寂凄凉之情。"
"况属高风晚
山山黄叶飞",出自唐代 王勃《山中》,"解释：何况是高风送秋的傍晚时分，深山重重，黄叶在漫山飘飞。

赏析：此句描绘了一幅秋风萧瑟、黄叶飘零之景，比拟诗人的萧瑟心境、飘零旅况，流露出诗人难以排遣的乡思。"
"十轮霜影转庭梧
此夕羁人独向隅",出自宋代 晏殊《中秋月》,"解释：月光下梧桐树影随着时间推移，不知不觉的移动着，在这团圆夜仍是独自面对着角落。

赏析：此句意境凄凉，营造了清冷孤寂的氛围，流露出诗人在中秋之夜不得归乡的哀怨之情。"
"孤舟微月对枫林
分付鸣筝与客心",出自唐代 王昌龄《听流人水调子》,"解释：夜晚，天上一弯微月，江上一叶孤舟，两岸是黑黝黝的枫林。演奏者是一位流浪的乐人，他的漂泊之苦和思乡之愁，倾注在筝乐之中，低婉压抑的筝乐，也更加重了客人的乡愁。

赏析：此句并列三个意象——“孤舟、微月、枫林”，构成了极其凄清的意境，下句写筝曲的演奏，将景色、筝乐与听者心境紧紧勾连，使之融成一境。"
"万里乡为梦
三边月作愁",出自唐代 岑参《送人赴安西》,"解释：置身于万里之外，乡情化为梦境，眼望那边的明月，激起阵阵怀恋。

赏析：此句写得深沉细腻，写出了友人对家国的一往情深，也传达出诗人对友人的思念与关怀。"
"闲梦江南梅熟日
夜船吹笛雨萧萧",出自唐代 皇甫松《梦江南·兰烬落》,"解释：渐渐进入梦乡，梦中的江南，正是青梅熟时；在静谧的雨夜中，江中的行船传来悠扬的笛声。

赏析：此句情调清朗，色彩明丽，勾勒了一幅朦胧缥缈的江南水乡风景图，雨朦胧、夜朦胧、梦朦胧，可谓极迷离惝恍之致，寓寄了词人深厚浓切的思乡之情。"
"撩乱边愁听不尽
高高秋月照长城",出自唐代 王昌龄《从军行七首》,"解释：纷杂的乐舞与思乡的愁绪交织在一起，欲理还乱，无尽无休。此时秋天的月亮高高地照着长城。

赏析：“边愁”用了“听不尽”三字，展现出将士们久戍思归的苦情，接着诗人又轻轻宕开一笔，以景结情，描写了一幅月照长城的莽莽苍苍的景象，充满着苍茫壮阔之美。"
"山南山北雪晴
千里万里月明",出自唐代 戴叔伦《调笑令·边草》,"解释：山南山北雪后放睛，千里万里处处月明。

赏析：此句对仗工整，前写边塞冰天雪地，“山南山北”点明白雪覆盖面之广阔，后句写月色分外皎洁，“千里万里”写月亮普照之广，暗寓着边塞与家乡相隔之遥远，流露出词人的怀人思乡之感。"
"莫道春来便归去
江南虽好是他乡",出自明代 王恭《春雁》,"解释：不要怪大雁一到春天便启程北归，只因为江南虽好，毕竟是异域他乡！

赏析：诗人用托物咏怀的手法，借春雁的口吻表达强烈的思乡情感，表现了诗人想辞官归隐、遁迹林泉的意趣。"
"秦中花鸟已应阑
塞外风沙犹自寒",出自唐代 王翰《凉州词二首·其二》,"解释：关内此时应该已是暮春时节，可是塞外仍然是大风凛冽、尘沙满天，冷酷严寒。

赏析：此句通过写关内暮春之景与塞外风沙之景作对比，写出边塞将士忍受苦寒、思念故乡的心境。"
角声吹彻小梅花夜长人忆家,出自宋代 赵长卿《阮郎归·客中见梅》,"解释：远处传来角声，吹着哀伤的《小梅花》。长夜漫漫，我又想起了远方的家。

赏析：词人以梅花象征客子，当角声吹彻《小梅花》曲之时，正梅花极其伤心难堪之际，更凸显出客子伤心难堪之至极，流露出词人羁旅的哀愁与思乡的愁绪。"
"如今白首乡心尽
万里归程在梦中",出自唐代 清江《送婆罗门》,"解释：如今两鬓苍白，思乡的心早已苍老，回乡的万里路程只在梦中。

赏析：此句语意沉痛，诗人归乡的心愿已经消磨殆尽，万里之遥的归程能够在梦中实现，表达了主人公刻骨的思乡之情。"
"胡蝶梦中家万里
子规枝上月三更",出自唐代 崔涂《春夕》,"解释：往事如梦，离家万里，醒来时正值夜里三更时分，树枝上杜鹃在凄厉地啼叫。

赏析：诗人运用了新奇的造语，对仗工整，韵律和谐，创造出一种曲折幽深的情境，用蝴蝶和杜鹃两种意象，构成一片清冷、凄凉、愁惨的气氛，令诗人不禁伤怀，暗透思乡之苦。"
"一别家山音信杳
百种相思
肠断何时了",出自明代 施耐庵《蝶恋花·一别家山音信杳》,"解释：自从离别家乡音信无踪，千百种相思，令人断肠伤情。

赏析：此词是小说《水浒传》中浪子燕青在李师师处为宋徽宗皇帝所唱的一词作，描述了一位远离家乡、沦落风尘的女子，表达出她天涯飘泊、思念家乡的断肠之痛。"
"三湘衰鬓逢秋色
万里归心对月明",出自唐代 卢纶《晚次鄂州》,"解释：眺望三湘秋色，两边鬓发衰白，明月皎皎思归之意更甚。

赏析：诗人情来笔至，借景抒怀，一个“逢”字，将诗人的万端愁情与秋色的万般凄凉联系起来，流露出诗人内心迫切思归的心情。"
"砧杵敲残深巷月
井梧摇落故园秋",出自宋代 陆游《秋思》,"解释：在捣衣棒的敲击声中，深巷里的明月渐渐西沉，井边的梧桐树忽然摇动叶落，方知故乡也是秋天了。

赏析：此句对仗工整，互文见义，渲染出凄冷悲切的氛围，饱含着诗人对故乡山川、人生离合的无限感慨。"
"东风吹落战尘沙
梦想西湖处士家",出自元代 刘因《观梅有感》,"解释：春风吹落蒙在梅树枝叶上的尘沙，梦中飞向西湖边种梅人家。

赏析：此句语调哀怨伤感，含蓄深沉，诗人观梅有感，东风骀荡，摇枝拂叶，吹去了蒙在梅花上面的尘沙，花蕊花瓣，一概显露出清新的面庞，如此雅洁怡人的氛围，而诗人却偏要将这沙尘，想象为战火中的尘埃，一个“梦”字，展现了诗人对故国朝思暮想的痴情。"
"寄语洛城风日道
明年春色倍还人",出自唐代 杜审言《春日京中有怀》,"解释：我在这里向着遥远的洛阳，对着春天的景物说，等我和朋友再相聚的时候，明年的春色定要加倍地喜人啊。

赏析：此句构思新颖，造语清新，在平实的语调中藏着深沉的感情，表达了诗人对洛城风光、亲友的思念。"
"停船暂借问
或恐是同乡",出自唐代 崔颢《长干曲四首·其一》,"解释：停下船吧暂且借问一声，听口音恐怕咱们是同乡。

赏析：诗人抓住了人生片断中富有戏剧性的一刹那，用白描的手法，描写女主人公闻乡音而急于“停舟”相问，就可见她离乡背井，水宿风行，孤零无伴，没有一个可与共语之人。"
"夜闻归雁生乡思
病入新年感物华",出自宋代 欧阳修《戏答元珍》,"解释：夜间难以入睡，阵阵北归的雁鸣惹起我无穷的乡思；病久了又逢新春，眼前所有景色，都触动我思绪如麻。

赏析：诗人远谪山乡，心情苦闷，夜不能寐，听到北归春雁的声声鸣叫，勾起了无尽的乡思，展现出诗人对故乡的深沉情感，以及生命无常的感慨。"
"心思不能言
肠中车轮转",出自两汉 佚名《悲歌》,"解释：思乡的悲苦无法言说，就像车轮在心中旋转。

赏析：诗人为抒写胸中难以排遣的痛苦，出语惊奇，想出了“肠中车轮转”这一奇喻，用滚滚车轮在肠中的转动，写主人公无可言传的曲曲愁思，震荡了读者的心弦。"
"都道晚凉天气好
有明月、怕登楼",出自宋代 吴文英《唐多令·惜别》,"解释：别人都说是晚凉时的天气最好，可是我却害怕登上高楼，那明月光下的清景，更加令我滋生忧愁。

赏析：秋雨晚霁，天凉如水，明月东升，正适合登楼赏月，但词人却“怕登楼”，生动地展现出羁旅游客的独特心理，更令读者体会到词人内心的乡思离愁。"
"剑花寒
夜坐归心壮
又是他乡",出自元代 张可久《满庭芳·客中九日》,"解释：昏冥冥灯光暗淡，游子漂泊他乡，夜深闷坐归乡之心油然猛涨。

赏析：此句情调凄冷，渲染出一片孤独和凄凉的氛围，“又是他乡”一句，点明了诗人漂泊异乡的处境，表达出诗人漂泊中的无奈和对家乡的眷恋。"
"画图恰似归家梦
千里河山寸许长",出自宋代 辛弃疾《鹧鸪天·送元济之归豫章》,"解释：画境如梦归家乡，寸幅之中展尽千里河山。

赏析：此句语新意丰，蕴藉含蓄，读来耐人寻味，词人借画发挥，言其“归家梦”和其所作图画一样，在画图中能把千里河山收入“寸许长”的画幅之中，其情调幽怨，相当动人。"
"何事吟馀忽惆怅
村桥原树似吾乡",出自宋代 王禹偁《村行》,"解释：是什么让我在吟诗时突然感到惆怅，原来是这乡村景色像极了我的家乡！

赏析：诗人乘兴而游，胜景触目，前面的小桥流水、原野平林，却并非诗人的故乡，诗人心中的那份怅然的思乡之情自然流露出来。"
"清明又近也
却天涯为客",出自宋代 曹组《忆少年·年时酒伴》,"解释：清明时节又将近，却浪迹在天涯海角为他乡异客。

赏析：此句写词人的眼前情景，快到清明时节，又是春光明媚的时候，旧地重游，景色如昔，可是往日的酒伴此时却在远地作客，引起了词人对同游者的怀思。"
"梦绕边城月
心飞故国楼",出自唐代 李白《太原早秋》,"解释：夜夜秋梦都缠绕着边城上空的月亮，心却随着月光回到了家乡的楼上。

赏析：“梦”指诗人的归乡之梦，见到边城的月亮，诗人的思归之情悠然而生，表达了诗人渴望归乡的急切心情。"
"秋色连波
波上寒烟翠",出自宋代 范仲淹《苏幕遮·怀旧》,"解释：天边秋色与秋波相连，波上弥漫着空翠略带寒意的秋烟。

赏析：此句从碧天广野写到遥接天地的秋水，秋色，承上指碧云天、黄叶地，江波之上，笼罩着一层翠色的寒烟，“寒”字突出了这翠色的烟霭给予人的秋意感受，写得境界悠远，构成一幅极为寥廓而多彩的秋色图。"
"海畔尖山似剑铓
秋来处处割愁肠",出自唐代 柳宗元《与浩初上人同看山寄京华亲故》,"解释：海边的高耸突出的尖山好像利剑锋芒，到秋天时好似能割断人的愁肠。

赏析：此句描写了秋日草木变衰的荒凉之景，诗人登山临水，触目伤怀，山峦的尖峰似能割断愁肠，更感到百端交感，悲苦不堪。"
"雁来音信无凭
路遥归梦难成",出自五代 李煜《清平乐·别来春半》,"解释：鸿雁虽然来了，却没将书信传来。路途遥远，归家的愿望难以实现。

赏析：“音信无凭”是第一层悲哀，“归梦难成”是第二层悲哀，两层悲哀相纠结，主人公不胜翘首远望之苦的形象已隐然现于字里行间。"
"夔府孤城落日斜
每依北斗望京华",出自唐代 杜甫《秋兴八首》,"解释：夔州的高城上又迎来了落日。每当晚上北斗星出现的时候，我就按照它的方向来寻找长安的所在。

赏析：此句写诗人身在孤城，翘首北望，长夜不寐，表现出诗人已近暮年，卧病秋江的寂寞，流露出对长安的强烈怀念。"
"芳草无情
更在斜阳外",出自宋代 范仲淹《苏幕遮·怀旧》,"解释：不解思乡之情的芳草，一直延伸到夕阳之外的天际。

赏析：此句的“芳草”与词人的乡思别情相联系，它遥接天涯，远连故园，更在斜阳之外，使瞩目望乡的客子难以为情，展露出词人的悠悠乡思离情。"
"东风吹雨过青山
却望千门草色闲",出自唐代 卢纶《长安春望》,"解释：东风吹着那细细春雨洒过青山，回望长安城中房舍叠嶂，草色闲闲。

赏析：诗人登高而望，东风从家乡吹来，自然引出思乡之情，“草色闲”的闲字用得巧妙，春草之闲正好与人心之愁形成强烈对比，给人以深刻的印象，流露出诗人的复杂感情。"
"芳草已云暮
故人殊未来",出自唐代 韦庄《章台夜思》,"解释：茂盛的芳青已经开始枯萎，期盼的亲人故友都没有来。

赏析：诗人用“芳草已云暮”起兴，“芳草”喻指美好时光之难永驻，衬托诗人的守侯之苦，“已”、“殊”两字形成鲜明对照，表达了诗人内心望穿秋水而不得的失落。"
"春风一夜吹乡梦
又逐春风到洛城",出自唐代 武元衡《春兴》,"解释：一夜春风吹起了我的思乡梦，在梦中我追逐着春风飞回了洛阳城。

赏析：此句出语平淡，意境美妙，一“吹”一“逐”之间，不但透露出诗人乡思的深切，也流露了诗人对美好梦境的欣喜愉悦。"
年年跃马长安市客舍似家家似寄,出自宋代 刘克庄《玉楼春·戏林推》,"解释：年年骑着高头大马在京城里东奔西跑，竟然把客舍当成了家里，家里反而像成了寄宿的地方一样。

赏析：此句写友人的意气飞扬而行为放荡，年年跃马于繁华的都市街头，视客舍（借指酒楼妓馆）如家门而家门反若寄居之所，可见其情性之落拓。"
"云山万重兮归路遐
疾风千里兮扬尘沙",出自两汉 蔡琰《胡笳十八拍》,"解释：高山重重直入云霄，归程怕是遥遥无期；疾风吹过千里，尘沙飞扬。

赏析：此句以“云山万重”、“疾风千里”形容归乡路途的遥远和艰辛，流露出诗人对家乡的思念和对自由的渴望。"
"秋已尽
日犹长
仲宣怀远更凄凉",出自宋代 李清照《鹧鸪天·寒日萧萧上琐窗》,"解释：秋天快要过去了，依然觉得白昼非常漫长。比起王粲《登楼赋》所抒发的怀乡情，我觉得更加凄凉。

赏析：秋分以后，昼短夜长，词人心情愁苦，因而觉得时光过得太慢，又借王粲的典故，透露出词人孤身漂泊，思归不得的幽怨之情。"
"江水三千里
家书十五行",出自明代 袁凯《京师得家书》,"解释：绵绵的江水有三千里长，家书有十五行那么长。

赏析：“江水三千里”，写去家之远；“家书十五行”，写家书之短，此句对仗工整，简洁凝练，抒写了诗人捧读家书时的激动心情，以及对故乡亲人的深切怀念。"
"已知泉路近
欲别故乡难",出自明代 夏完淳《别云间》,"解释：已经知道生命即将走到尽头，想到永别故乡实在心犯难。

赏析：此句语意低沉哀痛，坦露了诗人对故乡、亲人的依恋不舍之情。"
"蜀国曾闻子规鸟
宣城还见杜鹃花",出自唐代 李白《宣城见杜鹃花》,"解释：以前在蜀国时曾听过杜鹃凄恻的鸣啼，没想如今在异乡宣城，又看到杜鹃盛开。

赏析：此句感物起兴，从地理和时间两方面的对比中，真实地再现了触动乡思的过程，先写回忆中的虚景，后写眼前的实景，表现了诗人深切的故乡之念。"
"九月九日眺山川
归心归望积风烟",出自唐代 卢照邻《九月九日登玄武山》,"解释：九月九日眺望那故乡的山川，乡思归心飞越那隐约的风烟。

赏析：此句描写了游子在重阳佳节的望乡动态，诗人将这种“归心归望”的情怀，寄寓在“风烟”中，一个“积”字很有分量，道出了归心归望的程度。"
"西北有浮云
亭亭如车盖",出自魏晋 曹丕《杂诗二首》,"解释：西北天空有一朵浮云，耸立无依形状如车盖。

赏析：此句运用比兴的手法突出揭示了游子身不自主流落他乡的情势，飘摇不定的浮云本就与游子的处境极其切合，写得贴切传神，韵味浓郁。"
"仰头看明月
寄情千里光",出自南北朝 佚名《子夜四时歌·秋风入窗里》,"解释：仰头看着当头的浩然明月，想起了出征在外的亲人，心中充满了无奈与忧伤，多么希望这皎洁的月光能把心中融融的相思之情寄给远在他乡的亲人。

赏析：月光照千里，词人将它看作传递相思的凭籍，此句勾画了一幅悲凉的月夜图，表达了主人公相思怀远的情感。"
"翻被梨花冷看
人生苦恋天涯",出自宋代 张炎《朝中措·清明时节》,"解释：路旁，雪白的梨花冷冷地看着我走过，仿佛责怪我这个时候还不思故土，而对他乡的山水花木如此痴情苦恋。

赏析：此句赋予客观景物以情，达到曲笔深情、宛转有致的效果，词人的无限辛酸，无限悲恨，尽在不言之中。"
"日落君山云气
春到沅湘草木
远思渺难收",出自宋代 张孝祥《水调歌头·过岳阳楼作》,"解释：那湖中君山的暮霭云雾，四周萦绕，沅水、湘水相汇处的两岸草木，呈现出一片葱绿的春色，思绪翻腾，颇难平静。

赏析：词人纵笔直写登楼远眺的景色：蔚蓝天空，万里无云，夕阳斜照在广阔的洞庭湖面上，波光粼粼，两岸草木，呈现出一片葱绿的春色，这些春日明媚的自然景色，引起词人内心的深长感触，思绪翻腾，难以平静。"
"二月江南花满枝
他乡寒食远堪悲",出自唐代 孟云卿《寒食》,"解释：二月的江南花开满枝头，在他乡过寒食节足够悲哀了。

赏析：此句描写物候，兼点时令，一个“满”字传达出江南之春给人繁花竞丽之感，诗人触景生情，流露出漂泊离乡的孤寂心情。"
"几度思归还把酒
拂云堆上祝明妃",出自唐代 杜牧《题木兰庙》,"解释：有多少次手持酒杯思念着故乡，到拂云堆上去祭王昭君。

赏析：诗人陡翻新意，生发出卓特的史论，木兰把酒思乡的时候，居然想到了汉朝远嫁番邦和亲的明妃王昭君，她们身上都承载着家国、民族的重大责任，承受着离别的痛苦，表达了郁结于木兰心中的凄楚与忧伤，把女英雄的思想境界推向高峰。"
"行多有病住无粮
万里还乡未到乡",出自唐代 卢纶《逢病军人》,"解释：受伤的军人在返乡途中没有粮食，饿着肚子赶路，想回到家乡，可家乡还在万里之外。

赏析：此句写出“病军人”的不幸遭遇，将其行住两难、进退无路的凄惨处境和盘托出，“未到乡”三字充满难言的悲愤、哀怨，令读者为之酸鼻。"
"古台摇落后
秋日望乡心",出自唐代 刘长卿《秋日登吴公台上寺远眺》,"解释：古台破败草木已经凋落，秋天景色引起我的乡思。

赏析：此句写诗人观南朝古迹吴公台，即景生情，抒发了诗人对故乡的思念。"
"故乡何处是
忘了除非醉",出自宋代 李清照《菩萨蛮·风柔日薄春犹早》,"解释：我日夜思念的故乡在哪里呢？只有在醉梦中才能忘却思乡的愁苦。

赏析：此句平白如话，却深刻沉痛，诗人只有醉乡中才能把故乡忘掉，正好表明清醒时每时每刻都在思念故乡，将无法排遣的乡愁表现得更加强烈。"
"京国多年情尽改
忽听春雨忆江南",出自元代 虞集《听雨》,"解释：在京城多年性情尽改，忽然听到春雨淋淋的声响，又重新勾起对家乡江南的思念。

赏析：此句描写了诗人独坐听春雨的情状，展现了他对故土朝思暮想、魂牵梦萦的眷念情怀。"
"更被夕阳江岸上
断肠烟柳一丝丝",出自唐代 韦庄《江外思乡》,"解释：看到江岸渐落的残阳，就仿佛心肠被撕扯成片片柳叶。

赏析：此句情调低沉，诗人见残落的夕阳，心生悲凉之感，以丝丝柳叶为喻，生动地表达出内心的煎熬痛楚。"
"马后桃花马前雪
出关争得不回头？",出自清代 徐兰《出关》,"解释：座骑后的土地正是桃花盛开的春天，座骑前的关外却依然飘飞着雪花、寒威肆虐，出关的将士又怎能不回头留念呢。

赏析：此句将“马前”、“马后”写成两个不同的世界，更是石破天惊的奇思妙笔，“马后桃花”与“马前雪”，是对比；以马概人，则又有所省略，抒写了出征土卒怀土恋乡的感情。"
